"Mass Product Relater","Mass Product Relater"
"Product Relator","Product Relator"
"Other","Other"
"Cross-Sell IDs","Cross-Sell IDs"
"Related IDs","Related IDs"
"Up-Sell IDs","Up-Sell IDs"
"Cross-Sell: Add ..","Cross-Sell: Add .."
"Cross-Sell: Clear","Cross-Sell: Clear"
"Cross-Sell: To Each Other","Cross-Sell: To Each Other"
"Related: Add ..","Related: Add .."
"Related: Clear","Related: Clear"
"Related: To Each Other","Related: To Each Other"
"Up-Sells: Add ..","Up-Sells: Add .."
"Up-Sells: Clear","Up-Sells: Clear"
"Please select product(s)","Please select product(s)"
"Total of %d record(s) are no longer related to any other products.","Total of %d record(s) are no longer related to any other products."
"Total of %d record(s) are now up-sold by products(%s).","Total of %d record(s) are now up-sold by products(%s)."
"Total of %d record(s) now have 0 up-sells","Total of %d record(s) now have 0 up-sells"
"Total of %d record(s) now have no products as cross sell links.","Total of %d record(s) now have no products as cross sell links."
"Total of %d record(s) were successfully cross-related to each other.","Total of %d record(s) were successfully cross-related to each other."
"Total of %d record(s) were successfully refreshed.","Total of %d record(s) were successfully refreshed."
"Total of %d record(s) were successfully related to each other.","Total of %d record(s) were successfully related to each other."
"Total of %d record(s) were successfully related to products(%s).","Total of %d record(s) were successfully related to products(%s)."
"Total of %d record(s) were successfully set as cross-sells by products(%s).","Total of %d record(s) were successfully set as cross-sells by products(%s)."
"You should select checkboxes for each product row which should be updated. You can click on checkboxes or use CTRL+Click on product row which should be selected.","You should select checkboxes for each product row which should be updated. You can click on checkboxes or use CTRL+Click on product row which should be selected."
